municipality_code,households_total,population_2015,births_annual
35000,598824,1404729,7189
35201,115817,268517,1205
35202,72595,169429,992
35203,87094,197422,1152
35204,20432,49560,136
35205,43087,96086,
35206,48858,115942,771
35207,24718,55812,459
35208,57911,136757,656
35209,17982,42178,
35210,21439,51369,249
35211,14135,35439,102
35212,13932,32945,139
35213,9405,26159,62
35214,13059,29960,
35215,63289,144842,799
35216,26106,62671,273
35300,,17199,
35301,1426,3386,
35302,2378,5803,
35303,1579,3617,
35304,1815,4393,
35305,7198,17199,40
35320,,6285,
35321,2476,6285,40
35322,3459,8776,
35323,4292,10914,
35324,351,895,
35325,4944,12555,
35326,1239,2804,
35327,1220,2876,
35328,461,1057,
35329,1534,4002,
35340,,30918,
35341,1251,2803,4
35342,2634,7052,
35343,5955,15317,51
35344,4848,12798,43
35345,5945,15526,
35361,1198,3270,
35381,2268,5915,
35401,2435,6680,
35402,12253,25502,
35403,3561,9426,
35421,2140,6005,
35422,8124,20493,
35441,2802,7733,
35442,1959,5341,
35443,6962,17635,
35444,3580,9254,
35461,1765,5133,
35462,1761,4857,
35481,2042,5405,
35482,1569,4065,
35483,2339,5838,
35500,,3463,
35501,371,859,
35502,1365,3463,16
35503,1074,2744,
35504,2242,5772,
35505,566,1486,
35506,1048,2657,
35507,595,1645,
35508,660,1826,
36000,308210,755733,3903
36201,119509,258554,1667
36202,22472,59101,208
36203,15141,38755,164
36204,27439,73019,369
36205,15488,41466,161
36206,13029,37202,122
36207,11244,30501,111
36208,10325,26836,66
36300,,6846,
36301,1847,5301,11
36302,638,1545,5
36320,,2289,
36321,771,2289,7
36340,,30890,
36341,9624,25590,131
36342,2021,5300,9
36360,,8402,
36361,4036,10868,
36362,4862,12819,
36363,1025,2881,
36364,859,2480,
36365,576,1433,
36366,211,490,
36367,516,1118,
36368,3187,8402,11
36380,,20634,
36381,961,2505,
36382,1716,4587,
36383,1718,4259,13
36384,1979,4687,
36385,915,1859,
36386,1124,2737,
36387,2677,7092,22
36388,4018,9283,25
36400,,97673,
36401,5847,15204,102
36402,9353,22446,196
36403,13973,34626,279
36404,5054,13358,85
36405,4246,12039,40
36406,2780,7584,
36407,2663,7807,
36421,3574,10102,
36422,4012,11709,
36441,8788,23161,
36442,2799,7438,
36443,3545,9910,
36444,356,957,
36460,,8927,
36461,6044,16028,
36462,2748,7805,
36463,1441,3797,
36464,1665,4428,
36465,301,702,
36466,2194,6029,
36467,258,639,
36468,3407,8927,25
36480,,14638,
36481,1590,4404,
36482,1998,5561,
36483,5012,12812,
36484,1363,3621,
36485,1370,3644,
36486,3184,9077,
36487,549,1281,
36488,441,1074,
36489,5182,14638,74
37000,406985,976263,5365
37201,187511,420748,2711
37202,45721,110010,692
37203,21272,53164,253
37204,13145,32927,188
37205,22947,59409,313
37206,19445,50272,152
37207,11931,31031,83
37208,23083,65524,273
37301,2533,6732,
37302,4097,10555,
37303,5301,13744,
37304,2424,6433,
37305,1953,5641,
37306,8590,20372,
37307,1843,5531,
37308,4635,12295,
37320,,28864,
37321,4338,10180,
37322,5750,14002,51
37323,1822,4682,
37324,6160,14862,47
37340,,27684,
37341,10889,27684,133
37342,6832,17299,
37343,1856,5086,
37360,,3139,
37361,964,2750,
37362,8808,23027,
37363,2684,7468,
37364,1563,3139,16
37380,,42562,
37381,1923,5470,
37382,6935,18140,
37383,9617,23949,
37384,3870,11074,
37385,6312,17040,
37386,8734,18952,141
37387,8858,23610,103
37400,,50929,
37401,827,2216,
37402,4358,12176,
37403,3675,9186,35
37404,9770,23366,87
37405,1346,3985,
37406,6531,18377,87
37421,5311,15134,
37422,2324,6701,
37423,3205,9176,
37424,3898,11661,
37425,3986,11167,
37426,5000,13529,
37427,2013,5911,
37428,2833,7440,
37429,1244,3906,
38000,601402,1385262,6950
38201,241234,514865,3084
38202,68328,158114,680
38203,31452,77465,293
38204,14413,34951,125
38205,51310,119903,705
38206,45193,108174,534
38207,17375,44086,157
38208,14198,35215,
38209,15126,35248,
38210,14161,36827,161
38211,10495,26667,
38212,12428,29903,
38213,35738,87413,419
38214,15474,38919,121
38215,14331,34613,189
38301,418,1091,
38302,5996,15859,
38303,73,161,
38321,3253,8568,
38323,4637,11869,
38340,,7135,
38341,1613,4253,
38342,1921,4919,
38343,3352,8717,
38344,3657,8426,
38345,2245,5852,
38346,1600,3540,
38347,958,2527,
38348,2733,6359,
38349,93,194,
38350,1351,3324,
38351,684,1582,
38352,1079,2035,
38353,1249,2734,
38354,1322,2941,
38355,210,403,
38356,3207,7135,10
38361,9987,23934,
38362,4344,10679,
38363,1648,3881,
38380,,8447,
38381,2370,5686,
38382,254,546,
38383,666,1479,
38384,348,736,
38385,911,2362,
38386,3638,8447,31
38400,,51303,
38401,11898,30064,172
38402,8477,21239,104
38403,287,733,
38404,1098,3057,
38405,1412,3962,
38420,,16742,
38421,2588,6607,
38422,6258,16742,48
38423,1887,5108,
38424,750,2216,
38425,313,714,
38440,,9626,
38441,3974,9646,
38442,4077,9626,25
38443,795,1860,
38444,1235,2774,
38445,2885,6951,
38461,1256,3319,
38462,6898,16865,
38463,3112,8359,
38464,1323,3425,
38480,,14777,
38481,3355,10064,
38482,2180,5770,
38483,3803,9369,
38484,1603,4072,9
38485,543,1336,
38486,3803,10453,
38488,4346,10705,31
38500,,21902,
38501,606,1598,
38502,3040,7458,
38503,3080,7214,
38504,1293,3574,
38505,870,2058,
38506,8889,21902,52
39000,315272,728276,3380
39201,154171,337190,1792
39202,5933,13524,29
39203,7307,17577,61
39204,19755,47982,286
39205,10196,27038,165
39206,8710,22606,73
39207,13759,31436,
39208,8508,20907,69
39209,6179,13778,31
39210,14844,34313,164
39211,13146,32961,194
39212,12033,27513,114
39300,,17249,
39301,1236,2584,7
39302,1409,3326,8
39303,1170,2733,11
39304,1064,2631,7
39305,549,1294,1
39306,376,823,4
39307,1511,3858,12
39321,1169,2753,
39322,2162,6099,
39323,9419,21070,
39324,7702,18937,
39325,1401,3471,
39326,1801,4592,
39327,712,1701,
39328,813,1851,
39340,,7535,
39341,1504,3573,10
39344,1788,3962,2
39360,,4393,
39361,459,1285,
39362,336,907,
39363,1618,3997,16
39364,200,396,1
39365,228,466,
39380,,28318,
39381,7934,20092,
39382,738,1654,
39383,5397,14871,
39384,922,2099,
39385,949,2209,
39386,9111,22767,75
39387,2460,5551,15
39400,,57506,
39401,2702,6840,17
39402,5141,13114,54
39403,2335,5795,16
39404,5101,12150,
39405,1513,3608,11
39406,465,1187,
39407,831,2150,
39408,1375,3644,
39409,800,1798,
39410,1984,5030,19
39411,2206,5794,17
39412,7150,17325,53
39420,,17886,
39421,1330,3292,
39422,993,2485,
39423,3277,7925,
39424,2198,5095,9
39425,1056,2690,
39426,1085,2877,
39427,658,1574,4
39428,4607,11217,33
40000,2323325,5101556,33942
40100,436245,961286,
40101,43268,99637,383
40103,34128,82844,455
40105,28541,59116,364
40106,96175,181878,1173
40107,91065,212850,1348
40108,30394,68844,278
40109,112674,256117,1513
40130,831124,1538681,
40131,156362,306015,2470
40132,154640,228441,2017
40133,127391,192688,1395
40134,129031,255797,2020
40135,95698,206868,1489
40136,67367,130995,817
40137,100635,217877,1525
40202,49231,117360,554
40203,128716,304552,2170
40204,23675,57146,323
40205,55762,129146,813
40206,20588,48441,287
40207,24114,67777,309
40208,3514,8935,
40209,14765,37873,
40210,22296,64408,355
40211,18752,48339,367
40212,12941,34838,154
40213,30477,70586,481
40214,9910,25940,94
40215,17369,41796,205
40216,22746,57983,332
40217,41861,101081,834
40218,46442,110743,726
40219,42781,99525,935
40220,41038,96516,626
40221,30945,72168,481
40222,27588,68083,
40223,23618,57959,365
40224,26534,58781,584
40225,10128,29509,148
40226,10540,28112,140
40227,15030,38743,134
40228,19456,52444,234
40229,13060,38139,149
40230,37792,96475,624
40231,19078,,357
40300,,50004,
40305,19078,50004,
40340,,225585,
40341,14093,37927,236
40342,12228,31210,232
40343,19005,45256,336
40344,10942,27263,221
40345,12469,30344,238
40348,3279,8225,59
40349,19899,45360,503
40362,19761,43092,
40363,6773,15689,
40364,3250,8609,
40365,278,609,
40380,,93662,
40381,5599,14208,62
40382,12315,28997,212
40383,12120,31580,190
40384,7561,18877,99
40400,,23817,
40401,3210,7810,13
40402,6263,16007,59
40403,7255,19171,
40404,3285,8941,
40420,,13496,
40421,5132,13496,73
40422,6554,16394,
40423,2054,5308,
40424,2908,8106,
40425,3591,9861,
40426,10410,24832,
40427,4538,10417,
40428,2236,5751,
40440,,31480,
40441,2253,6793,
40442,2438,7778,
40443,4850,13552,
40444,5777,15754,
40445,276,866,
40446,420,1308,
40447,10627,29306,214
40448,696,2174,7
40462,4656,12088,
40463,5548,16304,
40481,5601,15661,
40482,6428,19267,
40483,4527,13848,
40500,,15138,
40501,6265,17144,
40503,5616,15138,111
40520,,14176,
40521,3949,12121,
40522,4772,14176,88
40523,5982,16378,
40540,,20183,
40541,3361,10790,
40542,960,3059,
40543,3000,9434,
40544,7486,20183,98
40545,405,1158,
40546,831,2687,
40561,7150,20924,
40562,4919,14850,
40563,6880,17110,
40564,1492,4536,
40581,4418,12679,
40600,,77663,
40601,4337,10861,52
40602,3724,9924,25
40603,2733,7186,
40604,3656,9020,54
40605,6921,16789,60
40606,3280,8485,
40607,2506,7200,
40608,2040,5176,40
40609,1072,3022,13
40610,8519,22871,102
40620,,55206,
40621,17722,34963,295
40622,2164,5906,
40623,2312,6631,
40624,2870,7706,
40625,7346,20243,68
40640,,32672,
40641,3913,10685,
40642,2667,6627,47
40643,3050,7902,
40644,1511,3983,
40645,1286,3475,
40646,2797,7458,40
40647,6963,18587,67
41000,312680,832832,5144
41201,96874,236372,1480
41202,44192,122785,695
41203,29816,72902,500
41204,6773,19749,96
41205,19984,55238,341
41206,17624,49062,316
41207,10046,29684,160
41208,15907,44259,347
41209,9157,27336,166
41210,11452,31842,173
41301,3755,10778,
41302,5330,16574,
41303,2646,8451,
41304,2655,8064,
41305,8567,21985,
41306,1177,3979,
41320,,16411,
41321,7274,19064,
41322,3712,11251,
41323,4166,10238,
41324,1971,6173,
41325,466,1527,
41326,411,1305,
41327,6137,16411,145
41340,,52062,
41341,6756,17501,113
41342,3033,7960,
41343,3985,10642,
41344,2211,6676,
41345,3598,9283,84
41346,9229,25278,175
41361,5669,15499,
41362,4874,13518,
41363,3610,9812,
41364,1754,5430,
41380,,5902,
41381,3770,10860,
41382,572,2112,
41383,1443,4331,
41384,2507,7646,
41385,1457,4363,
41386,2055,6982,
41387,2231,5902,26
41388,1784,5442,
41389,1484,4600,
41400,,20148,
41401,6981,20148,82
41402,2737,8849,
41420,,40301,
41421,2685,8732,
41422,2597,7421,
41423,2455,6777,35
41424,3433,9583,89
41425,7247,23941,89
41426,1411,4847,
41427,2304,7790,
41440,,8779,
41441,2788,8779,32
41442,3139,10374,
41443,6018,16962,
42000,558230,1377187,7656
42201,187423,429508,2149
42202,104053,255439,1541
42203,17095,45436,268
42204,53235,138078,816
42205,39002,92757,828
42206,10267,23264,
42207,12009,31920,131
42208,8789,23309,96
42209,12681,31457,144
42210,9726,27103,112
42211,16526,37327,163
42212,11180,28691,119
42213,15141,44115,249
42214,16060,46535,168
42300,,72352,
42301,1438,3601,
42302,350,689,
42303,205,382,
42304,2246,5249,
42305,3785,10562,
42306,6286,16207,
42307,16011,42548,254
42308,11435,29804,221
42309,4685,11919,
42310,2836,8570,
42311,2499,7261,
42312,2817,5388,
42313,647,1449,
42314,2381,6023,
42315,1515,3952,
42320,,37256,
42321,2705,8298,29
42322,5195,14067,80
42323,5005,14891,86
42341,1799,5419,
42342,2521,7116,
42343,3425,9863,
42344,1798,5462,
42361,3326,10470,
42362,3220,9902,
42363,1623,5124,
42364,2243,6474,
42365,2131,5673,
42366,1614,4614,
42367,3135,8572,
42368,1175,3756,
42369,2358,6433,
42370,2119,5367,
42371,1795,5045,
42372,1092,3379,
42373,2322,6980,
42374,2525,7688,
42375,1345,4187,
42376,2504,7456,
42380,,16186,
42381,428,1077,
42382,2114,5458,
42383,1126,2560,10
42384,1070,2187,
42385,2564,6964,
42386,889,2635,
42387,760,2037,
42388,1984,5425,
42389,1646,4553,
42390,2203,6155,
42391,5436,13626,146
42392,1950,5421,
42393,1168,3440,
42400,,19718,
42401,2069,4550,
42402,603,1355,
42403,1123,2597,
42404,1373,3292,
42405,1091,2269,
42406,1223,2810,
42407,2403,5641,
42408,1512,3667,
42409,2356,5550,
42410,903,2050,
42411,8397,19718,46
42421,3861,10197,
42422,1865,5542,
42423,2583,7231,
42424,1417,4133,
42441,4908,11609,
42442,2782,7528,
42443,1331,3384,
42444,805,2013,
42445,1291,3102,
42446,1564,3821,
43000,719154,1786170,11189
43100,326920,740822,
43101,99897,186300,1145
43102,80454,190451,1519
43103,39781,93171,607
43104,49967,127769,1081
43105,56821,143131,993
43201,305228,,
43202,49204,127472,697
43203,13288,33880,155
43204,20783,53407,283
43205,10123,25411,78
43206,25278,66782,345
43207,14940,38177,
43208,19085,52264,250
43209,5344,13031,
43210,17593,48167,260
43211,13499,37026,238
43212,10034,27006,102
43213,21535,59756,358
43214,9987,27018,105
43215,31873,82739,351
43216,22283,58370,538
43321,2778,7719,
43322,3196,8780,
43340,,10333,
43341,7870,21510,
43342,3355,9794,
43343,9677,26060,
43344,4454,12921,
43345,1430,4276,
43346,1451,4400,
43347,1988,5933,
43348,3439,10333,29
43360,,41131,
43361,5046,13557,
43362,1736,5021,
43363,1925,6059,
43364,1814,5265,26
43365,1979,5844,
43366,1437,4347,
43367,3503,9786,46
43368,6434,15889,85
43369,3416,10191,45
43381,1251,3950,
43382,1922,6003,
43383,2875,7866,
43384,1397,4425,
43385,10467,29178,
43400,,74436,
43401,1698,5172,
43402,1362,4562,
43403,14165,33452,305
43404,17794,40984,394
43405,9427,25350,
43406,5422,14522,
43407,12856,33020,
43420,,37375,
43421,3649,9594,
43422,5754,16070,
43423,1603,4048,22
43424,2682,7187,24
43425,520,1510,9
43426,584,1354,
43427,1236,3515,
43428,2408,6325,20
43429,1460,3857,
43430,1054,2638,
43431,1537,5008,
43432,2362,6802,30
43433,4051,11503,62
43440,,85768,
43441,6196,17237,141
43442,3495,9054,99
43443,11744,33611,273
43444,3678,10717,51
43445,3202,9302,
43446,814,2332,
43447,5252,15149,45
43460,,11994,
43461,1041,3671,
43462,2447,6927,
43463,5051,14509,
43464,2357,7392,
43465,1575,4602,
43466,708,2162,
43467,664,1877,
43468,3932,11994,52
43480,,22334,
43481,1435,4226,
43482,5996,17661,56
43484,1687,4673,13
43500,,54940,
43501,3729,10766,67
43502,1570,4667,
43503,2119,5519,
43504,787,2504,
43505,3463,9791,32
43506,1401,3985,16
43507,786,2232,11
43508,359,1182,
43509,522,1651,
43510,1466,4468,15
43511,420,1055,2
43512,1131,3422,13
43513,976,3698,7
43514,5357,15523,83
43520,,7739,
43521,5231,13708,
43522,2474,7114,
43523,1779,4977,
43524,917,2458,
43525,1412,3726,
43526,1061,2735,
43527,1065,2812,
43528,749,2158,
43529,1112,3018,
43530,2836,8168,
43531,2769,7739,11
43532,1301,3074,
43533,1686,4589,
44000,489249,1166338,6259
44201,209539,478146,3249
44202,54336,122138,579
44203,37571,83965,485
44204,25139,66523,318
44205,28716,72211,232
44206,14749,38748,151
44207,6995,17969,38
44208,8699,22332,56
44209,9584,22853,105
44210,12028,30185,110
44211,21984,56258,231
44212,13780,36584,118
44213,13175,34262,209
44214,11913,28647,73
44301,502,1344,
44302,1264,3060,
44303,1168,2905,
44320,,1991,
44321,1668,4344,
44322,832,1991,5
44323,4290,10673,
44324,2210,5068,
44325,3745,8562,
44340,,28058,
44341,11072,28058,213
44342,2433,6750,
44361,1709,4564,
44362,6465,16270,
44363,2549,7552,
44364,4161,10440,
44381,3505,8946,
44401,779,1880,
44402,2506,7158,
44403,532,1473,
44404,1057,2665,
44405,743,2300,
44406,1203,3090,
44407,754,1844,
44408,2619,6757,
44421,2571,7583,
44422,6686,16959,
44423,754,1960,
44424,1880,4995,
44425,979,2582,
44426,1557,4291,
44427,685,2139,
44428,1239,3658,
44441,1060,2833,
44442,1396,3865,
44443,788,2151,
44460,,25468,
44461,3329,9645,25
44462,5808,15823,62
44481,327,981,
44482,303,769,
44483,310,774,
44484,876,2756,
44485,1520,4731,
44501,1892,5167,
44502,1061,2792,
44503,1382,3853,
44504,871,2361,
44521,1439,3916,
44522,2340,6360,
45000,470055,1104069,6502
45201,184237,401138,2746
45202,71092,165029,1126
45203,51566,125159,690
45204,22071,54090,207
45205,19162,46221,232
45206,25111,61761,378
45207,7225,18779,66
45208,11783,30683,126
45209,8050,19538,63
45301,13316,29276,
45302,4509,10706,
45303,13140,33201,
45321,1573,4285,
45322,3772,9819,
45340,,25404,
45341,10203,25404,165
45342,2416,6310,
45343,4127,10392,
45344,2814,7071,
45345,3549,8992,
45360,,9300,
45361,3763,9300,31
45362,3066,7568,
45363,651,1639,
45380,,26951,
45381,4403,10955,
45382,7494,19606,89
45383,2857,7345,29
45400,,71218,
45401,8685,21025,100
45402,6430,17373,86
45403,502,1089,2
45404,1886,5231,26
45405,6036,16109,65
45406,3960,10391,65
45420,,28210,
45421,6874,18183,105
45422,1496,3997,
45423,702,1793,
45424,772,2033,
45425,663,1654,
45426,1304,3861,
45427,1216,3531,
45428,1294,3407,
45429,628,1739,6
45430,1057,2808,9
45431,2137,5480,15
45440,,20588,
45441,4519,12755,51
45442,1493,3946,13
45443,1234,3887,11
46000,728179,1648177,9868
46201,279644,599814,4085
46202,31120,71144,
46203,46139,103608,788
46204,9455,22046,61
46205,9395,22792,
46206,8617,21198,87
46207,16518,36216,
46208,22796,53758,300
46209,8109,18865,
46210,17790,41831,188
46211,8764,21137,
46212,26737,58139,
46213,7046,15967,76
46214,6560,15520,37
46215,40995,96076,655
46216,19415,49249,261
46217,15325,36557,159
46218,55586,125857,849
46219,11974,29282,95
46220,14444,35439,156
46221,13241,31479,159
46222,19648,43156,242
46223,14485,36352,130
46224,11394,26810,104
46225,32850,75173,578
46300,,1163,
46301,4203,10578,
46302,1367,3336,
46303,218,407,3
46304,426,756,4
46321,4581,11341,
46322,3701,8713,
46323,4588,11905,
46324,2244,5625,
46341,974,2520,
46342,832,1942,
46343,1312,3181,
46344,4711,11469,
46345,5186,12978,
46361,2579,6490,
46362,4584,11704,
46363,9821,24593,
46364,6175,15363,
46365,2906,7321,
46366,1935,4918,
46367,3075,8034,
46368,2562,6659,
46380,,22400,
46381,2523,6534,
46382,1801,4727,
46383,2026,5288,
46384,6233,14958,
46385,1577,4107,
46386,1421,3335,
46387,1371,3664,
46388,509,1151,
46389,584,1247,
46390,867,1908,
46391,194,413,
46392,9231,22400,63
46400,,10431,
46401,1653,4098,
46402,5425,13112,
46403,2336,6206,
46404,3981,10431,69
46421,3285,7945,
46440,,10327,
46441,9009,21644,
46442,21192,47031,
46443,2649,6498,
46444,3403,8071,
46445,1751,4227,
46446,2668,6460,
46447,1434,3867,
46448,3009,7155,
46449,1996,4914,
46450,16700,37898,
46451,1990,5453,
46452,4102,10327,39
46460,,13241,
46461,4449,10299,
46462,1373,3188,
46463,4081,9644,
46464,6795,16614,
46465,1580,3977,
46466,7293,16820,
46467,4368,10682,
46468,5906,13241,53
46480,,37659,
46481,4962,11886,
46482,2772,6530,34
46483,1409,3215,
46484,4984,12449,
46485,2570,6670,
46486,2225,5583,
46487,2180,5349,
46488,950,2340,
46489,973,2193,
46490,3175,7923,24
46491,3153,7542,19
46492,6393,15664,66
46500,,26793,
46501,3596,8135,27
46502,2673,5745,19
46503,2736,6228,
46504,3111,6685,
46505,5847,12913,40
46520,,66991,
46523,688,1530,7
46524,805,1722,7
46525,4270,9042,59
46526,606,1292,
46527,2561,5806,44
46528,2524,5648,
46529,3258,7212,32
46530,4714,11160,87
46531,2521,5975,41
46532,2783,6362,37
46533,2883,6783,22
46534,2659,6213,34
46535,2160,5186,28
47000,614708,1433566,12549
47201,144355,319435,2202
47202,9818,23251,
47203,29363,71115,
47205,44163,96243,969
47206,17077,35280,
47207,22033,47564,415
47208,47331,114232,994
47209,28453,61674,586
47210,23272,58547,569
47211,60570,139279,1306
47212,24580,61119,663
47213,48163,118898,1115
47214,24235,51186,382
47215,15895,42016,409
47300,,64496,
47301,1976,4908,24
47302,1308,3060,11
47303,725,1720,11
47306,3541,9531,56
47308,5351,13536,78
47311,4735,10652,64
47313,2239,5597,72
47314,4657,11232,100
47315,1900,4260,32
47320,,151607,
47322,4493,11503,
47323,4489,13029,
47324,15672,39504,340
47325,5220,13685,105
47326,11697,28308,235
47327,6558,16148,161
47328,8851,19454,228
47329,13610,34508,263
47340,,100235,
47341,24580,61119,
47343,7622,20547,
47344,3058,8519,
47345,4323,11682,
47346,1714,5107,
47347,4557,11600,
47348,7949,18410,226
47349,5301,13627,
47350,14679,37502,467
47351,1799,4094,
47352,1539,3661,
47353,389,730,1
47354,501,870,8
47355,378,759,4
47356,224,430,
47357,680,1329,13
47358,326,629,5
47359,518,1238,8
47360,637,1517,2
47361,3338,7755,60
47362,10680,29066,310
47370,,1194,
47371,2293,5386,
47372,1227,2892,
47373,1591,2859,
47374,2047,4769,
47375,466,1194,2
47380,,5841,
47381,2093,3998,42
47382,760,1843,11
